"orignal_val","predcited_Rev"
61190,57113.7878285562
14678,17025.1560540947
24867,21969.2833027436
102031,98397.2503547746
13459,13111.055315581
14913,12287.0341074728
41868,47019.5280292314
14944,15418.3146982838
51965,45948.3004586908
15913,13976.2775840945
77226,74294.6300176112
13856,14759.0977317973
21121,23164.1140545004
142517,131316.897618695
21145,21845.6801215274
13161,14141.0818257161
66947,61192.6928086916
14699,17807.9762017974
54819,55300.9411707183
12939,11545.4150201755
76963,70751.3388227461
16918,14800.2987922027
25504,23864.5320813923
115801,114548.066033694
17331,15541.9178795
11778,12410.637288689
59428,52540.470123556
16216,16819.1507520676
60752,56124.9623788265
12495,13646.6691008513
73892.8,71904.9685140976
13658.8,17560.769839365
23948.7,28643.8550884196
133563.9,133830.162303425
23499.3,17189.9602957163
12233.6,13852.6744028783
59015,66013.2168761243
23987.9,23658.5267793653
47561.3,51592.8457342316
15844.8,15830.3253023379
68964.9,72646.5876013949
20812.9,18137.5846850407
25265.9,28314.2466051763
150178.2,146849.697391534
17892.8,19620.8228596353
13556.7,13440.6637988242
74565.6,70380.5292790975
20997.9,21021.6589134192
64366.8,67249.2486882865
14920.9,15253.5104566621
84654,88756.2022199092
24545,18879.203772338
26204,26542.6010077438
149896,142029.173324101
24172,21639.6748195003
19365,14429.489248554
68322,71328.1536684219
19480,18178.7857454461
66691,66095.6189969351
17104,14058.6797049053
88389.8,79485.9636286926
14757.8,13893.8754632837
21944.4,23040.5108732842
140731.4,143017.998773831
21564.6,23122.912994095
12451.8,17766.775141392
74034.8,75242.2544069356
24123.6,24853.3575311221
63958.4,65312.7988492323
15479.6,17148.7592353109
93039.5,96089.9909720718
15245.7,15129.9072754459
34371.4,28149.4423635547
152632,156202.338103561
27572,23246.5161753112
13106.8,17107.5581749055
76775.7,73800.2172927463
18566.2,21598.4737590949
75915.3,68773.6879232866
20979.6,22134.0875443652
108959.9,105071.822140451
16987,19868.0292220678
49082,39809.3424582851
192008.9,188091.958857347
33851.2,29509.0773569332
20138.1,20238.8387657165
72547.9,79568.3657495034
30730.4,30003.4900817981
62408,69062.0953461244
23306.5,21104.06103423
101415,96007.588851261
23070,23946.9342022031
23839,28355.4476655818
175104,171529.132574373
22544,23370.1193565274
16711,17643.1719601758
79294,73511.8098699085
25689,27572.627517879
66997,65889.6136949081
21911,20197.6377053111
105820.55,109933.547268289
24025.5,25677.3787392303
36146.4,35812.8395989605
180713.25,187721.149313698
25950.35,27696.2306990952
22486.65,24688.5532895005
87625.65,87355.3661661254
23823.95,26460.198886933
79940.35,89909.8319112607
16379.95,17148.7592353109
123711.65,121593.447363019
30852.5,34082.3950619334
36544.5,40962.9721496365
204215.9,215573.066147754
39251.9,37419.6809547714
22341.6,25100.5638935546
96253.7,102105.345791261
34718.95,36307.2523238254
90756.8,98685.6577776125
29495.8,25594.9766184194
90418,87437.7682869362
15679,19250.0133159867
30059,30539.1038670684
168502,154018.681902075
20075,23946.9342022031
16741,15294.7115170676
68854,74953.8469840977
22725,21680.8758799057
73994,66507.6296009892
24115,20856.8546717976
109917,107873.494248018
20742,20115.2355845002
37325,34700.4109680145
181905,179645.741474238
30486,25100.5638935546
12245,16983.9549936893
85892,81134.0060449088
31611,25553.775558014
69275,74377.032138422
19840,19250.0133159867
109008,109768.743026667
25826,27037.0137326087
32581,27819.8338803115
185803,185784.699474644
28118,26542.6010077438
22533,22958.1087524734
95426,85995.7311727469
25304,25347.770255987
76086,74377.032138422
21083,20609.6483093651
88286.1,92670.302958423
20005.7,21021.6589134192
27673.6,29797.484779771
174844.1,174495.608923562
27808.3,29303.0720549061
21889.8,18631.9974099056
79510.3,82782.0484611252
32401.5,33299.5749142307
79397.1,77631.9159104492
18465.9,17272.3624165271
116663.4,120110.209188424
19505.8,22958.1087524734
32323.2,34782.8130888253
186636.7,188957.18112586
17342,21186.4631550408
21748.2,20939.2567926084
87974.1,84224.0855753144
33659.4,27861.0349407169
73239.3,77673.1169708546
17718.9,17766.775141392
127289,124065.510987344
29798,24194.1405646356
39818,38284.903223285
188399,193406.895649644
23190,23864.5320813923
23529,19456.0186180137
87907,87025.7576828821
25789,24564.9501082843
83918,73759.0162323409
24425,21598.4737590949
110008,119780.600705181
19587.6,22504.8970880139
32967.8,35936.4427801767
210198.6,209763.716630591
29355,30951.1144711224
25607.8,22175.2886047706
104005.6,99756.8853481531
39721.4,37996.4958004471
82854.4,87025.7576828821
19342.8,21227.6642154462
116731.3,116978.928597613
30448.5,25100.5638935546
39860.1,41498.5859349068
203655.9,206220.425435726
28161.2,25265.3681351762
18900.7,20156.4366449056
103410.1,99715.6842877477
28633,27325.4211554466
83357.5,92423.0965959905
18273.1,19167.6111951759
134134.5,131770.109283155
28113.6,27407.8232762574
41916.9,45701.0940962583
210396.2,211370.557986402
36265.2,32557.9558269333
23785.8,21598.4737590949
94786.4,99674.4832273423
30870.8,30209.4953838251
92567,98932.8641400449
21085.9,20815.6536113922
128693,121758.251604641
28096,28108.2413031493
31776,33093.5696122036
223839,217550.717047213
30634,35318.4268740956
25750,22175.2886047706
99803,94400.7474954501
36893,37254.8767131498
85728,83400.0643672063
22130,24441.346927068
129298.8,135643.008961263
25610.6,25471.3734372032
44741.1,44712.2686465286
223127.65,229663.828806403
30908.55,37007.6703507173
24214.6,22463.6960276085
99633.65,111663.991805316
31728.45,33793.9876390956
102614.55,110427.959993154
19440.2,19662.0239200408
115550.35,128062.013846668
27593.75,26625.0031285546
38216.5,41374.9827536905
205074.35,221176.410362889
39186.2,39520.9350354472
25521.25,24111.7384438248
115082.5,112529.214073829
38141.35,35977.6438405822
97642.2,87808.5778305849
17254.3,19703.2249804462
114310,116196.108449911
24092,23411.3204169328
51484,44465.0622840961
200403,188709.974763428
31588,27902.2360011223
22524,24276.5426854464
101248,95883.9856700448
28081,27449.0243366628
82750,79691.9689307196
16186,20032.8334636894
130734,120357.415550857
21556,23493.7225377437
36351,35277.2258136902
198074,201276.298187077
25696,24070.5373834194
20836,18920.4048327434
101476,90898.6573609904
19701,25265.3681351762
84559,83152.8580047738
16558,16571.9443896352
135406,122376.267510722
27311,27407.8232762574
44074,43682.2421363934
222571,213595.415248294
37012,33752.7865786901
20841,21104.06103423
95344,100168.895952207
32813,36060.045961393
84112,89621.4244884228
16845,23452.5214773383
130398.3,132964.940034912
27840.8,26377.7967661222
32458.1,36842.8661090957
209161.5,217633.119168024
33656.1,34041.194001528
22530.7,23905.7331417977
101398,106431.457133829
34974.9,38161.3000420688
96444.6,94895.160220315
27294.8,23370.1193565274
143447.9,153524.26917721
30098.5,32351.9505249063
51556.1,53488.0945128804
248129.4,250470.364311134
28439.5,28726.2572092304
20157.1,22216.489665176
106534.9,109480.335603829
34656.7,38532.1095857174
98024.1,107420.282583559
17860.7,23576.1246585545
132725,135807.813202885
21883,26913.4105513925
36139,38779.3159481499
231641,231929.887128701
28345,29550.2784173386
21928,20403.6430073381
87752,93700.3294685582
35273,35771.6385385551
105499,99550.880046126
16013,18384.7910474731
140960.8,133747.760182614
37552.2,31733.9346188252
34941.2,42034.1997201771
218595.2,225955.733369916
35116.6,31981.1409812576
22987.6,22958.1087524734
113346.8,109068.324999775
28871.8,31239.5218939603
89532.2,92011.0859919364
29423.4,27696.2306990952
138222,144212.829525588
24031.3,23370.1193565274
48473.8,48543.9672642315
240509.3,235308.374081944
29799.2,28602.6540280142
17618.6,21722.0769403111
118717.4,119656.997523965
30226.1,30621.5059878792
80142.3,80598.3922596386
29903.7,25347.770255987
156980.2,142399.98286775
27667.2,26625.0031285546
44736.3,40715.765787204
251734.1,238151.247249917
35697.4,34947.617330447
29974,23122.912994095
104115.8,111457.986503289
36041.5,31692.7335584198
102409.4,102187.747912072
23044.2,23946.9342022031
163855,155007.507351805
27952,27572.627517879
48607,44547.4644049069
280586,250429.163250729
40236,38861.7180689607
23699,24729.7543499059
125566,115866.499966667
44173,39026.5223105823
121887,110798.769536802
23265,24647.3522290951
168398.85,176473.259823022
25589.4,30621.5059878792
62416.95,59338.6450904482
282943.45,289940.980179514
34784.9,37872.8926192309
32426.75,30209.4953838251
131397.05,143430.009377885
39511.15,45041.8771297718
111205.75,123323.891900046
26574.9,30868.7123503116
186476.85,183395.03797113
31239.65,33464.3791558523
47998.2,51716.4489154478
280356.35,284749.646568433
31313.2,39891.7445790959
29508.55,28685.056148825
139180.9,145860.871941804
42329.75,43805.8453176096
119349.7,123323.891900046
28500.7,32887.5643101766
