"orignal_val","predcited_Rev"
61190,57083.4669436991
14678,17161.8046546799
49011,46169.6312100104
23556,20608.2790968974
13459,13264.0061783626
14913,12443.4170254536
41868,47031.2498205648
28121,27706.3752695596
21232,17243.8635699708
15913,14125.6247889169
77226,74192.7507818502
13856,14905.1844841804
56541,55442.2886378813
28086,28444.9055071777
21145,21962.2511991972
13161,14289.7426194987
66947,61145.3832505983
37606,35378.8838492581
16645,19787.6899439885
12939,11704.8867878356
76963,70664.2174243418
16918,14946.2139418259
54330,49821.2529404551
28518,30537.4078470954
17331,15684.7441794439
11778,12566.50539839
59428,52529.1971450546
29317,31768.2915764588
20212,21798.1333686154
12495,13797.3891277534
73892.8,71813.0422384143
13658.8,17695.1876040707
60220.6,63319.9445058069
26776.5,27583.2868966233
23499.3,17325.9224852617
12233.6,14002.5364159806
59015,65945.8297951155
41120.7,43748.8932089291
15935.3,15971.950382962
15844.8,15971.950382962
68964.9,72551.5724760323
20812.9,18269.600011107
51925.6,52077.8731109547
29080.8,34681.3830692855
17892.8,19746.6604863431
13556.7,13592.2418395261
74565.6,70294.9523055328
45800.7,44774.6296500653
30606.8,28403.8760495322
14920.9,15397.5379759258
84654,88594.0904154018
24545,19008.130248725
60548,63196.8561328706
41392,34681.3830692855
24172,21757.1039109699
19365,14576.9488230168
68322,71238.6298313781
49831,46292.7195829468
30275,29962.9954400592
17104,14207.6837042078
88389.8,79362.4624451764
14757.8,14043.565873626
74760.4,71361.7182043144
36842,34804.4714422218
21564.6,23234.164386206
12451.8,17900.334892298
74034.8,75136.4283076954
43681.6,45595.2188029742
22575.2,24752.2543190875
15479.6,17284.8930276163
93039.5,95897.3338762912
15245.7,15274.4496029894
70385.6,59299.0576565532
26826.7,29511.6714059593
27572,23357.2527591423
13106.8,17243.8635699708
76775.7,73700.3972901048
50660.6,50641.8420933641
34598.8,32137.5566952678
20979.6,22249.4574027153
108959.9,104841.755642998
16987,19992.8372322157
78617.2,80552.3167168943
